tokenId,loanId,owner,startTimestamp,duration,loanState,borrowedAmount,repaidAmount,interestAccrued,fee,liquidator,healthFactorBps,isLiquidated,isRepaid
13626,39736878,0x44C8Cde9dC108699FC190bCc74fe68ECede2f42A,1762395988,39562658,2,1762396115,0,2274387183320162746329,174220,0x0000000000000000000000000000000000000000,5000,False,False
18857,960652860,0x26bD1a2d21d1d0F796067e751bD9145Bd3BD40d3,1762204280,960652860,2,0,0,28642016423361077919055,0,0x0000000000000000000000000000000000000000,0,False,False
17091,4515541697,0x939458E00F62c9d27f1580603793B420a504E0Ae,1761613686,4515541697,2,0,0,112238856725672141114030,0,0x0000000000000000000000000000000000000000,2500,False,False
19337,845853093,0x939458E00F62c9d27f1580603793B420a504E0Ae,1761614579,845853093,2,0,0,21119354482445609782875,0,0x0000000000000000000000000000000000000000,2500,False,False
19617,7235513967,0x939458E00F62c9d27f1580603793B420a504E0Ae,1762089492,7235513967,2,0,0,180034569671547184476138,0,0x0000000000000000000000000000000000000000,2500,False,False
2449,0,0x3fBfa27325Fa1ab156a7932044b5075A63845CA9,1761583980,0,1,0,0,1377895626092423964016,0,0x0000000000000000000000000000000000000000,7500,False,False
1878,615721799,0x24B1bF98402c33a78c96178b833F89dbde7E76a7,1761595688,615721799,2,0,0,18192645756556220421918,0,0x0000000000000000000000000000000000000000,2500,False,False
19424,1439075699,0x4420681317b7A3364443F22A1e32e01Da15c9475,1761746545,1439075699,2,0,0,39560443412688366892259,0,0x0000000000000000000000000000000000000000,0,False,False
21445,3622810545,0x11bcb66A295AEbA152666E511Ae052609bDA0a84,1762126232,3622810545,2,1762965535,0,90707010475626908897709,0,0x0000000000000000000000000000000000000000,0,False,False
19462,0,0x7Cb552152e2b28F9f6911c51B69B0d8D1FADafe1,1761759736,0,1,0,0,3491970337110802772309,0,0x0000000000000000000000000000000000000000,2500,False,False
0,0,0x0000000000000000000000000000000000000000,0,0,0,0,0,0,0,0x0000000000000000000000000000000000000000,0,False,False
19519,110325594,0x939458E00F62c9d27f1580603793B420a504E0Ae,1761793068,110325594,2,0,0,2758505913983085745904,0,0x0000000000000000000000000000000000000000,2500,False,False
5150,758263139,0x018EbFa44624aEc89BA458764B146a1d7AFF3157,1761735826,752245178,2,1762377689,0,17973074739578206896514,6017961,0x0000000000000000000000000000000000000000,0,False,False
3866,2864246802,0x99eE33D1Ba49dbD763875Fccc47A82d291977428,1761758378,2864246802,2,0,0,79710028602417932502573,0,0x0000000000000000000000000000000000000000,2500,True,False
8453,2925570860,0x5Cd1356b08199152742e45d42d1b4090d27C5f8c,1762736977,2925389258,2,1762983715,0,106013486379259579995667,181602,0x0000000000000000000000000000000000000000,25,True,False
19461,12603841,0x226Fa898550EF48313d359d90F69914018a89F73,1761759671,12603841,2,1762847169,0,335108971045597560101,0,0x0000000000000000000000000000000000000000,0,False,False
5301,83856145,0xFe10891eB590e9C73f8C8394915e36CF05095574,1762728934,83856145,2,0,0,4301998347174054505435,0,0x0000000000000000000000000000000000000000,2500,False,False
9231,119199055,0xb373CF99eEF0cA6E587eF9ba3625F1C3C85E9C63,1761810434,119195359,2,0,0,4315681867943129165446,3696,0x0000000000000000000000000000000000000000,1000,True,False
19677,1370618326,0x3480b0d7Bc424B95711E1C50bc1b9c8c055478d0,1762063739,1370618326,2,0,0,34363878232387033636058,0,0x0000000000000000000000000000000000000000,25,False,False
1240,670238678,0x756455357076c58510F2eC0cf29117f151e7AB9e,1762180993,670208744,2,1762978594,0,23610122185297398782936,29934,0x0000000000000000000000000000000000000000,2500,True,False
19459,37483902,0x226Fa898550EF48313d359d90F69914018a89F73,1761759365,37483902,2,1762847169,0,954834676516095377237,0,0x0000000000000000000000000000000000000000,2500,False,False
19406,352856288,0x018EbFa44624aEc89BA458764B146a1d7AFF3157,1761736154,350055842,2,1762377689,0,8363596619894393762303,2800446,0x0000000000000000000000000000000000000000,0,False,False
19366,107097625,0x687e7E2AE01001dD7f5f336cdDF77836C053b81d,1761682337,107097625,2,0,0,2580294785666478491193,0,0x0000000000000000000000000000000000000000,0,False,False
19518,118845761,0x939458E00F62c9d27f1580603793B420a504E0Ae,1761792900,118845761,2,0,0,2956105643259438115633,0,0x0000000000000000000000000000000000000000,2500,False,False
5384,39920543,0x756455357076c58510F2eC0cf29117f151e7AB9e,1762181061,39920543,2,1762978594,0,1156098653518347769703,0,0x0000000000000000000000000000000000000000,2500,True,False
21483,0,0x426Da3DF32991e0fCB174aDF95a0165bFF3ADff5,1762230096,0,2,1762909091,0,5470744024318174859338,0,0x0000000000000000000000000000000000000000,0,False,False
234,0,0x0F45156F109e474295913D78036FA213b1745D5A,1761770785,0,2,0,0,2866039612168482117721,0,0x0000000000000000000000000000000000000000,10000,False,False
18073,0,0x62E1af3e818aFc059D111C4F53CF0a2D9Fd29110,1761604268,0,1,0,0,1707517402417551273540,0,0x0000000000000000000000000000000000000000,10000,False,False
19463,6018571,0x226Fa898550EF48313d359d90F69914018a89F73,1761759868,6018571,2,1762847169,0,159213485720030880519,0,0x0000000000000000000000000000000000000000,0,False,False
19338,4548171903,0x7a4475701c574B395d8BDeA0eB345Ee4CAca236b,1761620044,4548171903,2,0,0,119419706442322479244270,0,0x0000000000000000000000000000000000000000,2500,False,False
20043,0,0xE61F9577a0be11F8FdCe8FfFAa17AC1898E40fd8,1762256756,0,1,0,0,3461922254476408661856,0,0x0000000000000000000000000000000000000000,5000,False,False
19447,188249430,0x939458E00F62c9d27f1580603793B420a504E0Ae,1761755511,188249430,2,0,0,4768454481365943031836,0,0x0000000000000000000000000000000000000000,2500,False,False
11308,0,0x5f85e8c277df79FD5FD5E59E4E69FFa18989887B,1762412162,0,2,1762983036,0,109468882960570807233597,0,0x0000000000000000000000000000000000000000,2500,False,False
336,0,0x1F4f12fd18d569212B5EC4BDBd1cde844952a4f4,1761791560,0,2,0,0,2506432548686290557237,0,0x0000000000000000000000000000000000000000,5000,False,False
19190,0,0xAd46fb80926814F9C236CEFC03Eddd9e4B7fEe36,1762687304,0,2,0,0,126419573368909021414,0,0x0000000000000000000000000000000000000000,0,False,False
240,651495174,0xb150B53A0a444eB153d1823C67d22795A3735DDa,1761683849,651495174,2,1762986759,0,17439328661015276887953,0,0x0000000000000000000000000000000000000000,1000,False,False
13157,682872470,0x20288a9e10DDA1f3816b3B86F1770AC729d4010c,1761596777,682872470,2,0,0,18435034377457910060885,0,0x0000000000000000000000000000000000000000,0,False,False
2568,1028742920,0x721108f9781F1C5A6fF6B2AC9FE3468c715c7ED4,1761696340,1028742920,2,0,0,30834523730642041856875,0,0x0000000000000000000000000000000000000000,2500,False,False
2733,124191001,0xb150B53A0a444eB153d1823C67d22795A3735DDa,1761683869,124191001,2,1762986759,0,3338185559062519203809,0,0x0000000000000000000000000000000000000000,1000,False,False
